"color_identity","total_cards","avg_usd","avg_usd_foil","avg_common_usd","avg_uncommon_usd","avg_rare_usd","avg_mythic_usd","avg_special_usd","avg_common_usd_foil","avg_uncommon_usd_foil","avg_rare_usd_foil","avg_mythic_usd_foil","avg_special_usd_foil"
"black",3877,1.14,3.73,0.2,0.49,2.46,6.79,1.46,0.94,2.05,9.59,12.33,8.94
"white",3842,1.26,3.81,0.2,0.33,3.21,5.93,1.6,0.94,1.8,10.92,11.51,6.12
"red",3811,0.97,2.93,0.17,0.39,2.28,4.89,0.22,0.93,1.86,6.95,9.94,3.49
"blue",3781,1.14,4.43,0.17,0.47,2.62,6.18,2.34,1.2,2.77,10.82,14.02,13.39
"green",3751,1.46,3.47,0.22,0.59,3.61,6.75,0.72,1.04,1.86,8.92,11.8,4.89
"none",2667,3.25,8.14,1.05,0.63,6.24,14.31,1.44,1.03,2.63,16.74,25.55,17.28
"black-red",371,0.85,3.36,0.16,0.26,1.13,3.95,NULL,0.58,1.47,5.55,8.14,NULL
"blue-white",369,0.79,3.25,0.15,0.24,1.3,2.59,0.89,0.61,1.67,5.48,7.87,4.17
"black-blue",364,1.07,3.47,0.19,0.26,1.65,4.12,NULL,1.48,1.55,5.15,9.6,NULL
"green-white",361,1.03,3.55,0.22,0.37,1.85,2.49,0.23,0.82,1.69,7.1,5.68,3.56
"green-red",351,0.89,3.15,0.31,0.25,1.14,4.01,0.18,1.12,1.12,4.9,8.96,0.58
"black-white",315,0.82,2.91,0.22,0.26,1.19,3.22,NULL,0.57,1.52,5.06,5.88,NULL
"red-white",310,0.78,2.09,0.14,0.14,1.32,2.78,NULL,0.69,0.45,3.58,5.66,NULL
"black-green",303,0.98,3.02,0.25,0.22,1.56,3.46,NULL,0.91,0.82,5.18,7.32,NULL
"green-blue",301,0.74,2.7,0.11,0.18,1.17,2.74,NULL,0.83,1.33,4.2,6.58,NULL
"red-blue",298,0.75,2.3,0.1,0.15,1.45,2.24,NULL,1.19,0.79,4.01,5.85,NULL
"black-green-red-blue-white",98,4.13,17.55,0.52,0.13,3.39,7.19,0.73,0.65,2.18,24.19,16.08,12.68
"black-red-blue",90,1.3,4.7,0.19,0.26,1.44,2.71,0.22,0.89,3.01,4.65,6.78,6.71
"green-red-white",79,1.44,8.92,1.14,0.21,0.96,3.46,NULL,1.58,1.6,4.6,22.84,NULL
"black-blue-white",76,0.84,4.22,0.11,0.2,1.1,1.44,2.57,1.66,1.72,7.66,1.86,38.2
"black-green-red",74,1.06,2.39,0.14,0.22,0.6,4.09,NULL,1.15,0.66,2.59,4.43,NULL
"green-blue-white",70,1.07,3.39,0.11,0.23,1.18,2.93,NULL,0.67,2.39,5.24,3.48,NULL
"red-blue-white",50,0.92,2.09,0.06,0.12,1.08,1.11,NULL,0.31,0.29,3.12,1.61,NULL
"black-red-white",48,1.24,5.53,0.07,0.14,1.61,1.68,NULL,0.34,0.31,6.59,8.32,NULL
"black-green-blue",43,0.85,2.3,0.13,0.15,0.94,1.53,NULL,1.7,0.41,1.67,4.24,NULL
"green-red-blue",41,1.76,3.91,0.08,0.1,1.33,3.28,NULL,0.55,0.13,2.75,7.43,NULL
"black-green-white",40,1.49,4.24,0.07,0.1,2.05,1.3,NULL,0.59,0.2,6.23,2.7,NULL
"green-red-blue-white",4,6.62,13.37,NULL,NULL,1.25,9.31,NULL,NULL,NULL,18.23,11.75,NULL
"black-green-blue-white",3,10.44,30.12,NULL,NULL,0.69,15.32,NULL,NULL,NULL,12.78,38.79,NULL
"black-green-red-blue",2,0.1,4.02,NULL,NULL,0.1,NULL,NULL,NULL,NULL,NULL,4.02,NULL
"black-red-blue-white",2,2.9,10.13,NULL,NULL,0.95,4.85,NULL,NULL,NULL,9.32,10.94,NULL
"black-green-red-white",2,1.41,11.27,NULL,NULL,1.41,NULL,NULL,NULL,NULL,17.38,5.16,NULL
