1,Static Orb,rare,18.55,,8.00,,none,Terese Nielsen,2001-04-11,Seventh Edition
2,Sensory Deprivation,common,0.02,0.07,0.01,0.10,blue,Steven Belledin,2013-07-19,Magic 2014
3,Road of Return,rare,0.27,,0.43,,green,Jonas De Ro,2019-08-23,Commander 2019
4,Storm Crow,common,0.17,,0.02,,blue,John Matson,2005-07-29,Ninth Edition
5,Walking Sponge,uncommon,0.16,4.17,0.05,7.90,blue,Ron Spencer,1999-02-15,Urza's Legacy
6,Ravnica at War,rare,0.30,0.75,0.20,0.05,white,Adam Paquette,2019-05-03,War of the Spark
7,"Greta, Sweettooth Scourge",uncommon,0.31,0.67,0.13,0.24,black-green,Steve Prescott,2023-09-08,Wilds of Eldraine
8,Torrent of Fire,common,0.07,0.43,0.10,0.48,red,Thomas M. Baxa,2003-05-26,Scourge
9,Pteramander,uncommon,0.12,1.24,0.05,1.00,blue,Simon Dominic,2019-01-25,Ravnica Allegiance
10,Nantuko Elder,uncommon,0.92,14.40,0.44,2.40,green,Daren Bader,2001-10-01,Odyssey
11,Vedalken Heretic,rare,0.24,0.56,0.38,0.50,green-blue,Greg Staples,2009-04-30,Alara Reborn
12,Waterknot,common,0.04,,0.09,,blue,Wayne Reynolds,2020-07-17,Jumpstart
13,Ruthless Knave,uncommon,0.30,4.92,0.10,2.49,black,Aaron Miller,2017-09-29,Ixalan
14,"Hua Tuo, Honored Physician",rare,0.45,,0.44,,green,Gao Jianzhang,2013-11-01,Commander 2013
15,Veil of Summer,uncommon,6.13,26.71,6.14,26.86,green,Lake Hurwitz,2019-07-12,Core Set 2020
16,Disposal Mummy,common,0.02,0.34,0.02,0.05,white,Gabor Szikszai,2017-07-14,Hour of Devastation
17,Marang River Prowler,uncommon,0.04,,0.12,,blue,Yefim Kligerman,2020-09-25,Zendikar Rising Commander
18,Aura Graft,uncommon,0.18,0.62,0.25,0.39,blue,Ray Lago,2007-07-13,Tenth Edition
19,Murk Dwellers,common,0.17,,0.05,,black,Drew Tucker,1997-03-24,Fifth Edition
